Model Name,Granularity,Magnification,Modality,Pretrain,Frozen,Vote,Accuracy
ResNet152,865,20x,texture,scratch,unfrozen,vote,29.11
ResNet152,865,20x,texture,scratch,frozen,novote,37.0
ResNet152,865,20x,texture,scratch,frozen,vote,33.54
ResNet152,865,20x,texture,pretrained,unfrozen,novote,23.81
ResNet152,865,20x,texture,pretrained,unfrozen,vote,27.85
ResNet152,865,20x,texture,pretrained,frozen,novote,29.41
ResNet152,865,20x,texture,pretrained,frozen,vote,25.32
ResNet152,865,20x,heightmap,scratch,unfrozen,novote,12.5
ResNet152,865,20x,heightmap,scratch,unfrozen,vote,15.82
ResNet152,865,20x,heightmap,scratch,frozen,novote,37.93
ResNet152,865,20x,heightmap,scratch,frozen,vote,29.11
ResNet152,865,20x,heightmap,pretrained,unfrozen,novote,37.93
ResNet152,865,20x,heightmap,pretrained,unfrozen,vote,27.85
ResNet152,865,20x,heightmap,pretrained,frozen,novote,27.53
ResNet152,865,20x,heightmap,pretrained,frozen,vote,31.65
ResNet152,865,20x+50x,texture,scratch,unfrozen,novote,23.0
ResNet152,865,20x+50x,texture,scratch,unfrozen,vote,27.5
ResNet152,865,20x+50x,texture,scratch,frozen,novote,29.5
ResNet152,865,20x+50x,texture,scratch,frozen,vote,33.33
ResNet152,865,20x+50x,texture,pretrained,unfrozen,novote,22.5
ResNet152,865,20x+50x,texture,pretrained,unfrozen,vote,26.67
ResNet152,865,20x+50x,texture,pretrained,frozen,novote,29.5
ResNet152,865,20x+50x,texture,pretrained,frozen,vote,35.83
ResNet152,865,20x+50x,heightmap,scratch,unfrozen,novote,24.5
ResNet152,865,20x+50x,heightmap,scratch,unfrozen,vote,27.5
ResNet152,865,20x+50x,heightmap,scratch,frozen,novote,23.0
ResNet152,865,20x+50x,heightmap,scratch,frozen,vote,27.5
ResNet152,865,20x+50x,heightmap,pretrained,unfrozen,novote,22.5
ResNet152,865,20x+50x,heightmap,pretrained,unfrozen,vote,26.67
ResNet152,865,20x+50x,heightmap,pretrained,frozen,novote,50.5
ResNet152,865,20x+50x,heightmap,pretrained,frozen,vote,57.5
ResNet152,865,50x,texture,scratch,unfrozen,novote,50.5
ResNet152,865,50x,texture,scratch,unfrozen,vote,29.81
ResNet152,865,50x,texture,scratch,frozen,novote,50.5
ResNet152,865,50x,texture,scratch,frozen,vote,37.5
ResNet152,865,50x,texture,pretrained,unfrozen,novote,50.5
ResNet152,865,50x,texture,pretrained,unfrozen,vote,24.04
ResNet152,865,50x,texture,pretrained,frozen,novote,53.5
ResNet152,865,50x,texture,pretrained,frozen,vote,40.38
ResNet152,865,50x,heightmap,scratch,unfrozen,novote,65.5
ResNet152,865,50x,heightmap,scratch,unfrozen,vote,33.65
ResNet152,865,50x,heightmap,scratch,frozen,novote,59.0
ResNet152,865,50x,heightmap,scratch,frozen,vote,24.04
ResNet152,865,50x,heightmap,pretrained,unfrozen,novote,50.5
ResNet152,865,50x,heightmap,pretrained,unfrozen,vote,27.88
ResNet152,865,50x,heightmap,pretrained,frozen,novote,74.5
ResNet152,865,50x,heightmap,pretrained,frozen,vote,50.96
DINOv2,512,20x,texture,pretrained,frozen,novote,41.79
DINOv2,512,20x,texture,pretrained,frozen,vote,43.07
DINOv2,512,20x,heightmap,pretrained,frozen,novote,33.81
DINOv2,512,20x,heightmap,pretrained,frozen,vote,36.72
DINOv2,512,20x+50x,texture,pretrained,frozen,novote,50.5
DINOv2,512,20x+50x,texture,pretrained,frozen,vote,52.94
DINOv2,512,20x+50x,heightmap,pretrained,frozen,novote,57.9
DINOv2,512,20x+50x,heightmap,pretrained,frozen,vote,58.09
DINOv2,512,50x,texture,pretrained,frozen,novote,51.25
DINOv2,512,50x,texture,pretrained,frozen,vote,54.81
DINOv2,512,50x,heightmap,pretrained,frozen,novote,59.17
DINOv2,512,50x,heightmap,pretrained,frozen,vote,54.81
DINOv2,256,20x,texture,pretrained,frozen,novote,45.69
DINOv2,256,20x,texture,pretrained,frozen,vote,54.39
DINOv2,256,20x,heightmap,pretrained,frozen,novote,33.15
DINOv2,256,20x,heightmap,pretrained,frozen,vote,32.67
DINOv2,256,20x+50x,texture,pretrained,frozen,novote,59.89
DINOv2,256,20x+50x,texture,pretrained,frozen,vote,66.82
DINOv2,256,20x+50x,heightmap,pretrained,frozen,novote,54.04
DINOv2,256,20x+50x,heightmap,pretrained,frozen,vote,66.14
DINOv2,256,50x,texture,pretrained,frozen,novote,54.75
DINOv2,256,50x,texture,pretrained,frozen,vote,55.77
DINOv2,256,50x,heightmap,pretrained,frozen,novote,56.52
DINOv2,256,50x,heightmap,pretrained,frozen,vote,59.62
DINOv2,865,20x,texture,pretrained,frozen,novote,42.98
DINOv2,865,20x,texture,pretrained,frozen,vote,39.87
DINOv2,865,20x,heightmap,pretrained,frozen,novote,46.31
DINOv2,865,20x,heightmap,pretrained,frozen,vote,43.04
DINOv2,865,20x+50x,texture,pretrained,frozen,novote,44.5
DINOv2,865,20x+50x,texture,pretrained,frozen,vote,56.67
DINOv2,865,20x+50x,heightmap,pretrained,frozen,novote,45.5
DINOv2,865,20x+50x,heightmap,pretrained,frozen,vote,53.33
DINOv2,865,50x,texture,pretrained,frozen,novote,71.5
DINOv2,865,50x,texture,pretrained,frozen,vote,55.77
DINOv2,865,50x,heightmap,pretrained,frozen,novote,75.0
DINOv2,865,50x,heightmap,pretrained,frozen,vote,51.92
ViTH,512,20x,texture,pretrained,unfrozen,novote,26.3
ViTH,512,20x,texture,pretrained,unfrozen,vote,23.92
ViTH,512,20x,texture,pretrained,frozen,novote,34.18
ViTH,512,20x,texture,pretrained,frozen,vote,35.45
ViTH,512,20x,heightmap,pretrained,unfrozen,novote,26.2
ViTH,512,20x,heightmap,pretrained,unfrozen,vote,27.72
ViTH,512,20x,heightmap,pretrained,frozen,novote,37.66
ViTH,512,20x,heightmap,pretrained,frozen,vote,42.43
ViTH,512,20x+50x,texture,pretrained,unfrozen,novote,43.2
ViTH,512,20x+50x,texture,pretrained,unfrozen,vote,37.5
ViTH,512,20x+50x,texture,pretrained,frozen,novote,49.0
ViTH,512,20x+50x,texture,pretrained,frozen,vote,57.35
ViTH,512,20x+50x,heightmap,pretrained,unfrozen,novote,28.8
ViTH,512,20x+50x,heightmap,pretrained,unfrozen,vote,35.29
ViTH,512,20x+50x,heightmap,pretrained,frozen,novote,58.1
ViTH,512,20x+50x,heightmap,pretrained,frozen,vote,62.5
ViTH,512,50x,texture,pretrained,unfrozen,novote,25.75
ViTH,512,50x,texture,pretrained,unfrozen,vote,27.88
ViTH,512,50x,texture,pretrained,frozen,novote,43.75
ViTH,512,50x,texture,pretrained,frozen,vote,53.85
ViTH,512,50x,heightmap,pretrained,unfrozen,novote,25.75
ViTH,512,50x,heightmap,pretrained,unfrozen,vote,27.88
ViTH,512,50x,heightmap,pretrained,frozen,novote,56.67
ViTH,512,50x,heightmap,pretrained,frozen,vote,55.77
ViTH,256,20x,texture,pretrained,unfrozen,novote,28.47
ViTH,256,20x,texture,pretrained,unfrozen,vote,31.52
ViTH,256,20x,texture,pretrained,frozen,novote,35.88
ViTH,256,20x,texture,pretrained,frozen,vote,39.26
ViTH,256,20x,heightmap,pretrained,unfrozen,novote,29.94
ViTH,256,20x,heightmap,pretrained,unfrozen,vote,30.26
ViTH,256,20x,heightmap,pretrained,frozen,novote,42.5
ViTH,256,20x,heightmap,pretrained,frozen,vote,46.79
ViTH,256,20x+50x,texture,pretrained,unfrozen,novote,41.81
ViTH,256,20x+50x,texture,pretrained,unfrozen,vote,42.05
ViTH,256,20x+50x,texture,pretrained,frozen,novote,50.89
ViTH,256,20x+50x,texture,pretrained,frozen,vote,57.27
ViTH,256,20x+50x,heightmap,pretrained,unfrozen,novote,39.98
ViTH,256,20x+50x,heightmap,pretrained,unfrozen,vote,42.05
ViTH,256,20x+50x,heightmap,pretrained,frozen,novote,46.39
ViTH,256,20x+50x,heightmap,pretrained,frozen,vote,50.45
ViTH,256,50x,texture,pretrained,unfrozen,novote,20.68
ViTH,256,50x,texture,pretrained,unfrozen,vote,29.81
ViTH,256,50x,texture,pretrained,frozen,novote,51.22
ViTH,256,50x,texture,pretrained,frozen,vote,53.85
ViTH,256,50x,heightmap,pretrained,unfrozen,novote,6.21
ViTH,256,50x,heightmap,pretrained,unfrozen,vote,4.81
ViTH,256,50x,heightmap,pretrained,frozen,novote,52.58
ViTH,256,50x,heightmap,pretrained,frozen,vote,56.73
ViTH,865,20x,texture,pretrained,frozen,vote,32.28
ViTH,865,20x,heightmap,pretrained,unfrozen,novote,37.93
ViTH,865,20x,heightmap,pretrained,unfrozen,vote,27.85
ViTH,865,20x,heightmap,pretrained,frozen,novote,42.55
ViTH,865,20x,heightmap,pretrained,frozen,vote,36.08
ViTH,865,20x+50x,texture,pretrained,unfrozen,novote,22.5
ViTH,865,20x+50x,texture,pretrained,unfrozen,vote,35.83
ViTH,865,20x+50x,texture,pretrained,frozen,novote,41.5
ViTH,865,20x+50x,texture,pretrained,frozen,vote,49.17
ViTH,865,20x+50x,heightmap,pretrained,unfrozen,novote,22.5
ViTH,865,20x+50x,heightmap,pretrained,unfrozen,vote,26.67
ViTH,865,20x+50x,heightmap,pretrained,frozen,novote,41.0
ViTH,865,20x+50x,heightmap,pretrained,frozen,vote,45.0
ViTH,865,50x,texture,pretrained,unfrozen,novote,50.5
ViTH,865,50x,texture,pretrained,unfrozen,vote,31.73
ViTH,865,50x,texture,pretrained,frozen,novote,26.5
ViTH,865,50x,texture,pretrained,frozen,vote,50.96
ViTH,865,50x,heightmap,pretrained,unfrozen,novote,51.0
ViTH,865,50x,heightmap,pretrained,unfrozen,vote,27.88
ViTH,865,50x,heightmap,pretrained,frozen,novote,67.5
ViTH,865,50x,heightmap,pretrained,frozen,vote,54.81
ResNet50,512,20x,texture,scratch,unfrozen,novote,32.46
ResNet50,512,20x,texture,scratch,unfrozen,vote,32.91
ResNet50,512,20x,texture,scratch,frozen,novote,34.5
ResNet50,512,20x,texture,scratch,frozen,vote,33.02
ResNet50,512,20x,texture,pretrained,unfrozen,novote,32.21
ResNet50,512,20x,texture,pretrained,unfrozen,vote,33.02
ResNet50,512,20x,texture,pretrained,frozen,novote,34.46
ResNet50,512,20x,texture,pretrained,frozen,vote,35.45
ResNet50,512,20x,heightmap,scratch,unfrozen,novote,39.53
ResNet50,512,20x,heightmap,scratch,unfrozen,vote,44.44
ResNet50,512,20x,heightmap,scratch,frozen,novote,31.9
ResNet50,512,20x,heightmap,scratch,frozen,vote,27.94
ResNet50,512,20x,heightmap,pretrained,unfrozen,novote,25.5
ResNet50,512,20x,heightmap,pretrained,unfrozen,vote,28.47
ResNet50,512,20x,heightmap,pretrained,frozen,novote,29.78
ResNet50,512,20x,heightmap,pretrained,frozen,vote,31.64
ResNet50,512,20x+50x,texture,scratch,unfrozen,novote,48.6
ResNet50,512,20x+50x,texture,scratch,unfrozen,vote,49.26
ResNet50,512,20x+50x,texture,scratch,frozen,novote,44.2
ResNet50,512,20x+50x,texture,scratch,frozen,vote,42.65
ResNet50,512,20x+50x,texture,pretrained,unfrozen,novote,40.6
ResNet50,512,20x+50x,texture,pretrained,unfrozen,vote,36.03
ResNet50,512,20x+50x,texture,pretrained,frozen,novote,49.4
ResNet50,512,20x+50x,texture,pretrained,frozen,vote,51.47
ResNet50,512,20x+50x,heightmap,scratch,unfrozen,novote,51.5
ResNet50,512,20x+50x,heightmap,scratch,unfrozen,vote,55.15
ResNet50,512,20x+50x,heightmap,scratch,frozen,novote,39.7
ResNet50,512,20x+50x,heightmap,scratch,frozen,vote,35.29
ResNet50,512,20x+50x,heightmap,pretrained,unfrozen,novote,52.0
ResNet50,512,20x+50x,heightmap,pretrained,unfrozen,vote,48.53
ResNet50,512,20x+50x,heightmap,pretrained,frozen,novote,65.3
ResNet50,512,20x+50x,heightmap,pretrained,frozen,vote,66.91
ResNet50,512,50x,texture,scratch,unfrozen,novote,29.25
ResNet50,512,50x,texture,scratch,unfrozen,vote,29.81
ResNet50,512,50x,texture,scratch,frozen,novote,28.0
ResNet50,512,50x,texture,scratch,frozen,vote,36.54
ResNet50,512,50x,texture,pretrained,unfrozen,novote,15.0
ResNet50,512,50x,texture,pretrained,unfrozen,vote,19.23
ResNet50,512,50x,texture,pretrained,frozen,novote,48.5
ResNet50,512,50x,texture,pretrained,frozen,vote,53.85
